                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.46269,                0.45284,                 1.0713,                0.87375,                0.77612,                0.85464,                 0.7349,                0.64543,                0.79091,                 1.1137,             0.00019442,             0.00019442,             0.00019442
                    128,                0.47067,                0.50198,                 1.0837,                  0.872,                0.77455,                0.85266,                0.73489,                0.63566,                0.78912,                 1.1068,             0.00018709,             0.00018709,             0.00018709
                    129,                0.47788,                0.46162,                 1.0911,                0.83787,                0.80529,                0.85879,                0.73759,                0.64347,                0.80499,                 1.1143,             0.00017976,             0.00017976,             0.00017976
                    130,                 0.4757,                0.46102,                 1.0882,                0.85988,                 0.8084,                0.86185,                0.74394,                 0.6297,                0.76854,                 1.1038,             0.00017243,             0.00017243,             0.00017243
                    131,                0.46423,                0.45231,                 1.0811,                0.85134,                0.80858,                0.85739,                 0.7385,                0.63456,                0.80604,                 1.1038,             0.00016509,             0.00016509,             0.00016509
                    132,                0.46846,                0.44682,                 1.0859,                0.85915,                0.81831,                0.85875,                0.74162,                0.63473,                 0.7807,                 1.1007,             0.00015776,             0.00015776,             0.00015776
                    133,                0.47081,                0.46856,                 1.0872,                0.83597,                0.83179,                0.85892,                0.74199,                0.64088,                0.78739,                 1.1055,             0.00015043,             0.00015043,             0.00015043
                    134,                0.45172,                0.45176,                 1.0753,                0.84066,                0.81121,                 0.8553,                0.74604,                0.63855,                0.79813,                 1.1013,              0.0001431,              0.0001431,              0.0001431
                    135,                0.46628,                0.45252,                 1.0854,                0.86337,                0.81712,                0.85861,                0.74459,                0.64424,                 0.7882,                 1.1114,             0.00013576,             0.00013576,             0.00013576
                    136,                 0.4759,                0.47322,                 1.0923,                 0.8518,                0.80951,                0.85516,                0.74259,                0.63799,                0.79165,                 1.1063,             0.00012843,             0.00012843,             0.00012843
                    137,                 0.4545,                0.44006,                 1.0843,                0.85403,                0.80443,                0.86156,                0.74639,                  0.634,                  0.778,                 1.0998,              0.0001211,              0.0001211,              0.0001211
                    138,                0.45986,                0.43429,                  1.079,                0.83255,                0.81027,                  0.854,                0.73935,                0.62894,                0.79457,                 1.0957,             0.00011377,             0.00011377,             0.00011377
                    139,                0.44778,                0.47362,                 1.0743,                0.85562,                0.80305,                0.85982,                0.74434,                 0.6349,                 0.7908,                 1.0984,             0.00010643,             0.00010643,             0.00010643
                    140,                0.46014,                0.42732,                 1.0759,                0.87193,                0.79854,                0.85674,                 0.7375,                0.63594,                 0.7827,                  1.102,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    141,                 0.3804,                0.36989,                 1.0545,                0.84984,                0.81472,                0.85059,                0.72723,                0.64477,                0.80462,                 1.1128,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    142,                0.37478,                0.34805,                 1.0587,                0.87922,                0.77925,                0.84606,                0.72633,                 0.6356,                0.79002,                 1.1051,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    143,                0.36605,                0.30232,                 1.0472,                0.88879,                0.79227,                 0.8449,                0.72405,                0.63616,                0.78742,                 1.1054,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    144,                0.35648,                0.28746,                 1.0311,                0.87212,                0.79332,                0.84772,                0.73155,                0.63266,                0.78852,                 1.1077,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    145,                0.36544,                0.30728,                 1.0497,                 0.8624,                0.80935,                0.85404,                0.73715,                0.63778,                0.78615,                 1.1053,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    146,                0.35624,                0.28198,                 1.0309,                 0.8538,                0.81158,                0.84926,                0.73376,                 0.6397,                0.78987,                 1.1143,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    147,                0.35312,                0.27899,                 1.0398,                0.85454,                0.80639,                0.84682,                0.73116,                0.63651,                 0.7842,                  1.109,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    148,                 0.3517,                0.29193,                 1.0423,                0.87163,                0.78755,                0.85135,                0.73595,                0.63262,                 0.7797,                  1.103,              4.044e-05,              4.044e-05,              4.044e-05
                    149,                0.34843,                0.27045,                 1.0378,                0.85962,                0.80236,                0.85303,                0.73579,                0.62929,                0.77413,                 1.0986,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    150,                0.35726,                0.31938,                 1.0345,                0.86001,                0.79789,                0.85202,                0.73179,                0.62977,                0.78565,                 1.0991,             2.5775e-05,             2.5775e-05,             2.5775e-05
